parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ,23.094778580555314,1.845714514817652,0.0495068400957262,1433.8953567026288,1037.2732448648574,1.0013976617870126,6.979257130423453
α,71.82623783220461,16.481811439039788,0.44272506009212775,1384.457580589679,1121.6970045771427,1.005676959581426,6.738626634037698
β,-0.024719928356302167,0.2920701711285409,0.007856812408194802,1376.681895819336,1064.16667569515,1.0067237373401603,6.700779727620387
τ_α_k,4.576846707584283,4.814523085386774,0.4829947522610619,40.052559252802595,27.92117582751504,1.0193916655224584,0.19494944903068176
τ_β_k,0.07992798756743363,0.08694582655411168,0.00681303030854009,37.46837271994023,33.35147889500723,1.0362682999940231,0.1823713329209409
α_k[1],-1.3393993216942317,4.768184279112336,0.14737264167483408,1322.8995699332297,632.0899340106358,1.008441434697828,6.439002827599913
α_k[2],1.1244621102475159,4.556876201955105,0.16491378271144527,870.2046853202031,648.9667132728213,1.0122078500145468,4.23558262223208
α_k[3],-0.38150202498486563,4.7356065039616695,0.14969001459900985,1286.451986953517,552.8242603820848,1.0094839402847189,6.261600026057391
α_k[4],0.35937368557552474,4.8971239501094335,0.14273766926164158,1328.9503514914416,587.0243867417743,1.0104650668272748,6.468454042528104
α_k[5],0.6043007995588214,4.783913958856075,0.12782252809039024,1584.6064806968898,552.1292623948217,1.0155410100176663,7.712819507799377
α_k[6],-0.29542006589728365,4.487849135020464,0.13268776472665797,1347.4712689027324,701.9867942335821,1.018090853407373,6.558601656369317
β_k[1],-0.011193186628659969,0.07660925714935073,0.001948683688081639,1729.6575608341623,822.2969223787032,1.008207869246363,8.418832523736377
β_k[2],0.013335123154470795,0.08582242706340926,0.0030771045463728877,1011.0314178120572,576.2023784583423,1.0153180156781514,4.921034299234646
β_k[3],0.007308867259502737,0.0741056934370075,0.002375342220732519,1244.7691753073586,498.1876150582696,1.0130064574442053,6.058715583313582
β_k[4],-0.008636731649213898,0.08239022266941035,0.002368940144457546,1371.2007939071104,766.2006597593132,1.0083640306325006,6.674101337579814
β_k[5],0.00984250730285767,0.08096624446254082,0.0028971439148656026,1149.861349893836,473.44256399762185,1.0133975258144958,5.5967668684690555
β_k[6],0.002288624405482379,0.07701757869873523,0.0022044794377737657,1212.1528478807354,802.1136575806362,1.0089678329726797,5.899960807592737
